Keyword,Search Volume,Keyword Difficulty,Position,Traffic,topic,content_type,priority_score,competitor,archive
how to sharpen knives on a whetstone,480,21.0,2,1,maintenance,How-to Tutorial,23.46,koi,0
aus-10 steel,260,8.0,1,8,steel_types,Informational Post,23.4,noblie,0
blade shapes,390,19.0,1,16,knife_types,Informational Post,23.4,noblie,0
most expensive knives in cs go,260,8.0,2,8,other,Informational Post,23.4,noblie,0
sandwich knife,260,7.0,1,2,knife_types,Informational Post,23.4,koi,0
knife laws in new mexico,140,0.0,2,11,knife_laws,News/Update,23.31,noblie,0
colored damascus,140,0.0,1,11,steel_types,Comparison,23.31,noblie,0
massachusetts knife laws,590,21.0,10,2,knife_laws,Informational Post,23.3,noblie,0
are butterfly knives illegal in the state of texas,480,15.0,10,1,knife_laws,Informational Post,23.27,noblie,0
knives checked baggage,320,1.0,30,0,other,Informational Post,23.27,insight,0
paracordist lanyard,720,28.0,7,2,comparison,Comparison,23.19,noblie,0
patina on knives,210,1.0,9,1,other,Informational Post,23.14,koi,0
professional chef knife set,1300,35.0,70,0,knife_types,Informational Post,23.11,insight,0
are butterfly knives illegal in florida,480,11.0,16,1,knife_laws,Comparison,23.09,noblie,0
serrated edge,720,15.0,65,0,other,Informational Post,23.04,noblie,0
sheath knives,720,15.0,62,0,other,Informational Post,23.04,shieldon,0
kitchen knife sharpening angle,720,15.0,41,0,knife_types,How-to Tutorial,23.04,insight,0
carbon or stainless steel knife,320,9.0,4,14,steel_types,Comparison,23.04,koi,0
german kitchen knives,720,15.0,26,0,cooking,Informational Post,23.04,noblie,0
kitchen knife sharpening angle,720,15.0,35,0,knife_types,How-to Tutorial,23.04,noblie,0
420hc,260,8.0,3,6,other,Informational Post,22.97,noblie,0
knife laws washington state,390,12.0,9,8,knife_laws,Informational Post,22.97,noblie,0
s90v vs magnacut,390,7.0,12,0,steel_types,Comparison,22.94,noblie,0
texas laws on knives,480,11.0,15,0,knife_laws,Informational Post,22.86,noblie,0
how to throw a throwing knife,1000,25.0,30,0,knife_types,How-to Tutorial,22.86,noblie,0
knife artful,320,4.0,13,0,knife_types,Informational Post,22.86,noblie,0
navajas de bolsillo,320,4.0,11,0,other,Informational Post,22.86,noblie,0
knife sharpening guides,320,4.0,17,0,knife_types,Ultimate Guide,22.86,noblie,0
best japanese chef knife,1000,25.0,65,0,knife_types,List Post,22.86,insight,0
professional knife set,1000,25.0,83,0,knife_types,Informational Post,22.86,insight,0
lanyard knife,260,10.0,1,17,knife_types,Informational Post,22.81,noblie,0
blade types knife,390,20.0,2,17,knife_types,List Post,22.81,noblie,0
knives vintage,720,22.0,20,1,other,Informational Post,22.73,noblie,0
magnamax steel,880,21.0,84,0,steel_types,Informational Post,22.71,noblie,0
stone sharpening a knife,880,21.0,65,0,knife_types,How-to Tutorial,22.71,koi,0
obsidian aztec sword,480,25.0,1,10,knife_types,Comparison,22.63,noblie,0
balisong laws,260,10.0,3,16,knife_laws,Informational Post,22.62,noblie,0
best block set of knives,1300,36.0,55,0,other,List Post,22.61,insight,0
knives with curved blades,320,14.0,1,13,knife_types,Informational Post,22.6,noblie,0
weapon dirk,480,16.0,7,2,other,Informational Post,22.6,noblie,0
paring knife description,480,7.0,79,0,knife_types,Informational Post,22.59,insight,0
how to clean a pocket knife,480,7.0,52,0,knife_types,How-to Tutorial,22.59,noblie,0
paring knife description,480,7.0,32,0,knife_types,Informational Post,22.59,noblie,0
knife news,320,7.0,8,0,knife_types,News/Update,22.59,koi,0
real damascus steel,390,18.0,1,8,steel_types,Informational Post,22.56,noblie,0
lanyard sizes,170,2.0,1,6,other,Informational Post,22.53,noblie,0
aus-10 steel,260,8.0,1,4,steel_types,Informational Post,22.53,koi,0
jambiya dagger,390,11.0,7,1,knife_types,Informational Post,22.51,noblie,0
how is damascus steel made,390,11.0,7,1,steel_types,Informational Post,22.51,noblie,0
kamata knives,390,16.0,2,0,other,Informational Post,22.5,zhangxiaoquan,0
sticker knife,210,4.0,1,0,knife_types,Informational Post,22.5,koi,0
micarta knife,210,4.0,2,0,knife_types,Informational Post,22.5,koi,0
japanese steel,720,16.0,22,1,steel_types,Informational Post,22.38,koi,0
cpm s30v,720,16.0,23,1,steel_types,Informational Post,22.38,koi,0
d2 vs 154cm,170,2.0,2,5,steel_types,Comparison,22.31,noblie,0
serrated knife uses,390,4.0,44,0,knife_types,Informational Post,22.29,koi,0
best angle to sharpen a knife,390,4.0,76,0,knife_types,How-to Tutorial,22.29,insight,0
best steels for knives,390,4.0,38,0,steel_types,Comparison,22.29,noblie,0
serrated knife uses,390,4.0,34,0,knife_types,Informational Post,22.29,noblie,0
how to sharpen machete,260,4.0,7,0,maintenance,How-to Tutorial,22.29,noblie,0
fillet knife vs boning,390,4.0,59,0,knife_types,Comparison,22.29,noblie,0
best steels for knives,390,4.0,26,0,steel_types,Comparison,22.29,koi,0
154cm vs d2,210,2.0,5,6,steel_types,Comparison,22.26,noblie,0
what is blue steel,720,23.0,11,2,steel_types,Informational Post,22.25,zhangxiaoquan,0
what is blue steel,720,23.0,14,2,steel_types,Informational Post,22.25,koi,0
duck holding knife,590,25.0,4,10,knife_types,Informational Post,22.25,koi,0
how to sharpen a knife on a whetstone,590,33.0,1,8,knife_types,How-to Tutorial,22.23,koi,0
types of medieval daggers,210,8.0,2,27,knife_types,List Post,22.23,noblie,0
otf da knives,1000,26.0,34,0,other,Informational Post,22.22,noblie,0
gerber mk2,1000,26.0,44,0,other,Informational Post,22.22,shieldon,0
flip knife blue steel,480,17.0,4,4,steel_types,Informational Post,22.19,zhangxiaoquan,0
nakiri knife vs santoku knife,170,3.0,1,13,knife_types,Comparison,22.17,koi,0
aus 10,170,3.0,2,13,other,Informational Post,22.17,noblie,0
good knife to cut meat,720,16.0,50,0,knife_types,Informational Post,22.15,insight,0
nakiri knives,720,16.0,27,0,other,Informational Post,22.15,koi,0
what is santoku knife used for,720,16.0,85,0,knife_types,Comparison,22.15,noblie,0
paring knife use,720,16.0,61,0,knife_types,Informational Post,22.15,insight,0
yellow sulphur crested cockatoo,1300,37.0,30,0,other,Informational Post,22.13,koi,0
what is a sheath,1300,37.0,42,0,other,Informational Post,22.13,noblie,0
knife for steak,590,30.0,1,0,knife_types,Comparison,22.12,koi,0
crested cockatoo,1600,48.0,37,0,other,Informational Post,22.07,koi,0
seaxes,590,17.0,12,1,other,Informational Post,22.07,noblie,0
how to tie paracord,390,25.0,1,32,comparison,How-to Tutorial,22.06,noblie,0
ladder damascus,140,0.0,1,5,steel_types,Informational Post,22.05,noblie,0
sharpness rating,140,0.0,1,5,other,Informational Post,22.05,noblie,0
154cm vs s30v,210,5.0,3,5,steel_types,Comparison,22.05,shieldon,0
154cm steel vs d2,140,0.0,1,5,steel_types,Comparison,22.05,noblie,0
all sword types,390,20.0,3,13,knife_types,Comparison,22.04,noblie,0
burkenstock custom knife,720,23.0,18,1,knife_types,Informational Post,22.04,noblie,0
washington state knife laws,480,12.0,17,1,knife_laws,Informational Post,22.04,noblie,0
washington knife laws,480,12.0,14,1,knife_laws,Informational Post,22.04,noblie,0
espadas ingles,480,26.0,1,10,other,Informational Post,22.0,noblie,0
what is the sharpest thing in the world,880,22.0,25,0,comparison,Comparison,22.0,noblie,0
knife green beret,210,3.0,4,13,knife_types,Informational Post,21.9,noblie,0
angle for knife sharpening,320,15.0,1,14,knife_types,How-to Tutorial,21.89,noblie,0
lanyards for knives,590,23.0,5,2,comparison,Comparison,21.88,noblie,0
what is a boning knife used for,590,17.0,13,0,knife_types,Comparison,21.85,koi,0
nakiri knife vs santoku,140,0.0,3,4,knife_types,Comparison,21.84,koi,0
knife laws new mexico,140,0.0,3,4,knife_laws,News/Update,21.84,noblie,0
are switchblades legal in ohio,480,12.0,16,0,knife_laws,Informational Post,21.82,noblie,0
scandi knife,320,12.0,2,0,knife_types,Informational Post,21.82,noblie,0
are switchblades illegal in florida,720,32.0,9,6,knife_laws,Comparison,21.81,noblie,0
best way to sharpen a chainsaw,390,18.0,1,4,maintenance,How-to Tutorial,21.73,koi,0
wood knife handle material,260,11.0,1,17,knife_types,Informational Post,21.73,noblie,0
weapons with blades,720,31.0,8,3,knife_types,Informational Post,21.71,noblie,0
boot sheath knives,390,12.0,4,2,other,Informational Post,21.7,noblie,0
us ww1 dagger,320,15.0,1,13,knife_types,Informational Post,21.7,noblie,0
how to close pocket knife,260,2.0,19,0,knife_types,How-to Tutorial,21.67,noblie,0
best butterfly knife trainer,390,8.0,20,0,knife_types,List Post,21.67,noblie,0
what is the best steel for knives,260,8.0,1,0,steel_types,Comparison,21.67,koi,0
paring knife set,390,17.0,1,0,knife_types,Informational Post,21.67,insight,0
billet of damascus,140,0.0,1,3,steel_types,Informational Post,21.63,noblie,0
wombats' pouches,1000,27.0,60,0,other,Informational Post,21.62,koi,0
sharpening honing steel,1000,27.0,77,0,steel_types,How-to Tutorial,21.62,noblie,0
different types of blades,320,18.0,2,26,knife_types,List Post,21.6,noblie,0
navajas del arbolito,480,25.0,3,5,other,Informational Post,21.6,noblie,0
lanyard bead,320,8.0,10,1,other,Informational Post,21.55,noblie,0
m1918 trench knife,260,9.0,1,5,knife_types,Informational Post,21.55,noblie,0
what is an otf knife,480,17.0,7,1,knife_types,Informational Post,21.55,noblie,0
knife clip point,260,9.0,1,5,knife_types,Informational Post,21.55,koi,0
knife laws ohio,390,12.0,9,1,knife_laws,Informational Post,21.49,noblie,0
superb fairy wren,1000,37.0,15,1,other,Informational Post,21.49,koi,0
can you sharpen serrated knives,590,12.0,77,0,maintenance,How-to Tutorial,21.45,insight,0
blade hq steel guide,590,12.0,58,0,steel_types,Ultimate Guide,21.45,noblie,0
bent knife tip,210,5.0,1,2,knife_types,Informational Post,21.42,koi,0
serrated knife definition,480,18.0,8,4,knife_types,Informational Post,21.39,koi,0
can you take knives in hold luggage,480,8.0,40,0,other,Informational Post,21.33,insight,0
bowie knife size,320,2.0,35,0,knife_types,Informational Post,21.33,noblie,0
is d2 steel good for knives,320,2.0,45,0,steel_types,Comparison,21.33,shieldon,0
knife with holes in blade,320,2.0,35,0,knife_types,Informational Post,21.33,insight,0
kitchen knife types,880,23.0,54,0,knife_types,List Post,21.33,insight,0
4116 steel,320,5.0,13,0,steel_types,Informational Post,21.33,koi,0
henckels vs wusthof,320,5.0,18,0,comparison,Comparison,21.33,insight,0
japanese kitchen knife types,480,8.0,79,0,knife_types,List Post,21.33,koi,0
wooden knife handle,480,8.0,21,0,knife_types,Informational Post,21.33,noblie,0
sharpest knife,720,17.0,38,0,knife_types,Informational Post,21.33,insight,0
4116 steel,320,5.0,20,0,steel_types,Informational Post,21.33,shieldon,0
professional chef knives,1600,50.0,85,0,cooking,Informational Post,21.33,insight,0
tang of a knife,720,17.0,73,0,knife_types,Informational Post,21.33,shieldon,0
are switchblades illegal in tn,170,2.0,1,0,knife_laws,Informational Post,21.25,noblie,0
knife bent tip,210,5.0,2,1,knife_types,Informational Post,21.21,koi,0
types of utility blades,140,0.0,1,1,knife_types,List Post,21.21,noblie,0
california laws on knives,210,0.0,14,1,knife_laws,Comparison,21.21,noblie,0
mk 1 trench knife,390,19.0,2,5,knife_types,Informational Post,21.18,noblie,0
gerber mk1,390,13.0,4,4,other,Informational Post,21.16,shieldon,0
sharpening a blade with a stone,590,35.0,1,7,knife_types,How-to Tutorial,21.04,koi,0
sheath for knife,320,9.0,6,4,knife_types,Comparison,21.02,noblie,0
are switchblades legal in kentucky,170,0.0,6,3,knife_laws,Informational Post,21.01,noblie,0
are gravity knives legal in texas,210,0.0,19,0,knife_laws,Informational Post,21.0,noblie,0
shirogami,210,0.0,16,0,other,Informational Post,21.0,koi,0
juego de cuchillos de cocina,390,19.0,3,4,other,Informational Post,20.98,noblie,0
custom daggers,110,0.0,1,27,knife_types,Informational Post,20.96,noblie,0
xinzuo knives,110,0.0,1,27,other,Informational Post,20.96,xinzuo,0
10 steel,320,10.0,4,9,steel_types,Informational Post,20.93,noblie,0
damascus blade patterns,260,15.0,1,34,steel_types,Informational Post,20.9,noblie,0
crossbar lock knife,210,6.0,2,6,knife_types,Informational Post,20.87,noblie,0
wusthof or henckels,480,13.0,20,0,comparison,Comparison,20.87,insight,0
hell's kitchen knife set,210,6.0,2,6,knife_types,Informational Post,20.87,insight,0
knife neck,320,16.0,1,13,knife_types,Informational Post,20.86,noblie,0
cool knife designs,320,16.0,1,13,knife_types,Informational Post,20.86,noblie,0
blade names,480,28.0,1,10,knife_types,Informational Post,20.84,noblie,0
utility knife vs box cutter,260,0.0,21,0,knife_types,Comparison,20.8,shieldon,0
nitro v steel vs d2,260,0.0,28,0,steel_types,Comparison,20.8,koi,0
cpm s35vn,390,5.0,26,0,other,Informational Post,20.8,koi,0
silver steel,390,5.0,23,0,steel_types,Informational Post,20.8,zhangxiaoquan,0
best kitchen knife sets,1300,40.0,89,0,knife_types,List Post,20.8,insight,0
can you bring knife in checked luggage,260,0.0,39,0,knife_types,Informational Post,20.8,insight,0
knife sheaths for kitchen knives,390,5.0,95,0,knife_types,Comparison,20.8,noblie,0
m390 blade,260,5.0,5,0,steel_types,Informational Post,20.8,noblie,0
big ear sword,390,5.0,84,0,knife_types,Comparison,20.8,noblie,0
wootz knife,260,0.0,24,0,knife_types,Informational Post,20.8,noblie,0
how do you sharpen a knife at home,260,0.0,64,0,knife_types,How-to Tutorial,20.8,insight,0
knife sheaths for kitchen knives,390,5.0,46,0,knife_types,Comparison,20.8,insight,0
nitro v steel vs d2,260,0.0,56,0,steel_types,Comparison,20.8,shieldon,0
are switchblades legal in nc,390,13.0,9,2,knife_laws,Informational Post,20.75,noblie,0
how to use a knife sharpener rod,880,24.0,52,0,knife_types,How-to Tutorial,20.71,insight,0
dingoe,880,54.0,1,0,other,Informational Post,20.62,koi,0
paratrooper knife german,170,3.0,3,5,knife_types,Informational Post,20.6,noblie,0
are butterfly knives illegal in new york,170,0.0,5,1,knife_laws,Comparison,20.6,noblie,0
cu mai knife,170,3.0,1,5,knife_types,Informational Post,20.6,noblie,0
g10 scales,170,3.0,1,5,other,Informational Post,20.6,koi,0
hundop,720,18.0,43,0,other,How-to Tutorial,20.57,insight,0
bowie knofe,720,18.0,37,0,other,Informational Post,20.57,noblie,0
honing vs sharpening,480,18.0,10,0,maintenance,How-to Tutorial,20.57,koi,0
word for blue steel,720,18.0,50,0,steel_types,Comparison,20.57,koi,0
tractor supply knives,480,25.0,3,0,comparison,Comparison,20.57,noblie,0
italian knives,720,18.0,56,0,other,Informational Post,20.57,insight,0
rockwell a scale,390,23.0,1,16,other,Informational Post,20.56,noblie,0
reverse tanto,390,13.0,9,1,other,Informational Post,20.55,koi,0
knives with holster,390,13.0,7,1,other,Informational Post,20.55,noblie,0
aus 8,260,9.0,1,0,other,Informational Post,20.53,noblie,0
sujihiki knives,390,9.0,20,0,other,Informational Post,20.53,koi,0
d2 tool steel,590,13.0,70,0,steel_types,Informational Post,20.52,noblie,0
liner lock,590,13.0,55,0,other,Informational Post,20.52,shieldon,0
what is a serrated knife used for,590,13.0,42,0,knife_types,Comparison,20.52,koi,0
what is a serrated knife used for,590,13.0,36,0,knife_types,Comparison,20.52,noblie,0
stainless steel vs carbon steel,590,13.0,32,0,steel_types,Comparison,20.52,koi,0
sharpening japanese knives,590,13.0,54,0,maintenance,How-to Tutorial,20.52,noblie,0
different types of kitchen knives,590,13.0,88,0,cooking,List Post,20.52,insight,0
what is a serrated knife used for,590,13.0,47,0,knife_types,Comparison,20.52,insight,0
d2 tool steel,590,13.0,24,0,steel_types,Informational Post,20.52,koi,0
locking mechanisms,1000,29.0,41,0,other,Informational Post,20.51,noblie,0
can you sharpen a serrated blade,1000,29.0,73,0,knife_types,How-to Tutorial,20.51,noblie,0
can you sharpen a serrated blade,1000,29.0,65,0,knife_types,How-to Tutorial,20.51,insight,0
best japanese cooking knives,1000,29.0,62,0,cooking,List Post,20.51,noblie,0
550 paracord strength,210,6.0,1,4,comparison,Comparison,20.48,noblie,0
diameter of paracord,260,10.0,1,5,comparison,Comparison,20.48,noblie,0
trench knives ww1,390,20.0,2,5,historical,Informational Post,20.48,noblie,0
silicon steel,390,20.0,3,5,steel_types,Informational Post,20.48,koi,0
elmax vs m390,210,6.0,2,4,steel_types,Comparison,20.48,noblie,0
knife fuller,320,14.0,3,2,knife_types,Informational Post,20.4,noblie,0
is it illegal to carry a pocket knife,720,26.0,15,2,knife_laws,Informational Post,20.4,noblie,0
tsunehisa knives,170,0.0,4,0,other,Informational Post,20.4,zhangxiaoquan,0
ny laws on knives,480,14.0,11,2,knife_laws,Informational Post,20.4,noblie,0
what is a dirk knife,390,15.0,5,9,knife_types,Informational Post,20.4,noblie,0
virginia knife carry laws,390,15.0,8,9,knife_laws,Informational Post,20.4,noblie,0
10 steel,320,10.0,7,6,steel_types,Informational Post,20.35,koi,0
7 cr 17 mov steel,210,3.0,8,5,steel_types,Informational Post,20.35,shieldon,0
expensive knives,390,13.0,6,0,other,Informational Post,20.35,noblie,0
good knife steel,590,19.0,16,0,steel_types,Informational Post,20.34,noblie,0
crv steel,210,6.0,1,3,steel_types,Informational Post,20.28,zhangxiaoquan,0
santoku kniv,590,25.0,5,0,knife_types,Informational Post,20.23,koi,0
what is magnacut steel,480,9.0,36,0,steel_types,Informational Post,20.21,shieldon,0
what is magnacut steel,480,9.0,33,0,steel_types,Informational Post,20.21,noblie,0
are butterfly knives legal in ca,480,9.0,41,0,knife_laws,Informational Post,20.21,noblie,0
sakai takayuki knife,480,9.0,28,0,knife_types,Informational Post,20.21,koi,0
german gravity knife,320,9.0,7,0,knife_types,Informational Post,20.21,noblie,0
state of texas knife laws,480,14.0,14,1,knife_laws,Informational Post,20.2,noblie,0
legal length of knife blade in texas,260,3.0,14,1,knife_laws,Informational Post,20.2,noblie,0
case kitchen knives,480,14.0,16,1,cooking,Informational Post,20.2,insight,0
animals australian outback,590,30.0,8,14,other,Informational Post,20.18,koi,0
knife making classes,320,15.0,2,5,knife_types,Informational Post,20.16,noblie,0
how to use knife sharpener rod,880,25.0,66,0,knife_types,How-to Tutorial,20.11,insight,0
color damascus,140,4.0,1,34,steel_types,Comparison,20.1,noblie,0
knife blade sharpening angles,260,10.0,1,3,knife_types,How-to Tutorial,20.09,noblie,0
aus8 steel,210,7.0,1,8,steel_types,Informational Post,20.01,noblie,0
sharpest knife on earth,170,3.0,1,2,knife_types,Informational Post,20.01,noblie,0
nakiri bocho,170,3.0,2,2,other,Informational Post,20.01,koi,0
carbon steel baking pan,320,14.0,2,0,steel_types,Informational Post,20.0,koi,0
australasian swamphen,1000,30.0,29,0,other,Informational Post,20.0,koi,0
sword designs,1300,42.0,63,0,knife_types,Comparison,20.0,noblie,0
ny laws on knives,480,14.0,17,0,knife_laws,Informational Post,20.0,koi,0
leatherman vs gerber,320,6.0,17,0,comparison,Comparison,20.0,shieldon,0
knife laws new york,480,14.0,17,0,knife_laws,Comparison,20.0,noblie,0
knife boning,320,14.0,3,0,knife_types,Informational Post,20.0,koi,0
s30v vs s35vn,320,6.0,12,0,steel_types,Comparison,20.0,noblie,0
sharpening stone angle guide,260,3.0,19,0,maintenance,Ultimate Guide,20.0,noblie,0
are switchblades legal in tennessee,260,3.0,16,0,knife_laws,Informational Post,20.0,noblie,0
world war i trench knife,390,24.0,1,16,knife_types,Comparison,19.96,noblie,0
ankle knife,390,14.0,5,2,knife_types,Informational Post,19.89,noblie,0
knife symbolism,260,11.0,2,7,knife_types,Informational Post,19.87,koi,0
different blade types,320,19.0,3,20,knife_types,List Post,19.86,noblie,0
are balisong knives illegal,720,19.0,44,0,knife_laws,Informational Post,19.86,shieldon,0
cobblers knife,140,1.0,1,4,knife_types,Informational Post,19.85,noblie,0
a dagger,590,40.0,3,12,knife_types,Informational Post,19.82,noblie,0
14c28n knives,210,3.0,6,2,other,Informational Post,19.77,koi,0
tungsten knives,210,8.0,1,13,other,Informational Post,19.77,zhangxiaoquan,0
what is the tang of a knife,260,11.0,3,6,knife_types,Informational Post,19.69,koi,0
california blade laws,320,3.0,34,0,knife_laws,Comparison,19.69,noblie,0
d2 knife,320,3.0,44,0,steel_types,Informational Post,19.69,noblie,0
california blade laws,320,3.0,56,0,knife_laws,Comparison,19.69,shieldon,0
wooden handle knife,320,3.0,44,0,knife_types,Informational Post,19.69,noblie,0
folding knife vs switchblade,320,3.0,61,0,knife_types,Comparison,19.69,noblie,0
steel powder,320,3.0,36,0,steel_types,Informational Post,19.69,noblie,0
ceramic honing stone,320,3.0,56,0,maintenance,Informational Post,19.69,koi,0
florist knives,320,3.0,49,0,comparison,Comparison,19.69,shieldon,0
japanese chefs knives,590,26.0,5,0,cooking,Informational Post,19.67,zhangxiaoquan,0
mcusta knives,590,14.0,30,0,other,Informational Post,19.67,koi,0
14c28n steel vs d2,140,1.0,1,3,steel_types,Comparison,19.66,koi,0
blue steel knives,210,7.0,1,6,steel_types,Informational Post,19.64,koi,0
knuckle buster knife,390,16.0,8,9,knife_types,Informational Post,19.62,noblie,0
tennessee knife laws,390,16.0,4,9,knife_laws,Informational Post,19.62,noblie,0
what is a bevel,1300,43.0,71,0,other,Informational Post,19.62,koi,0
custom pocket knife,1300,43.0,35,0,knife_types,Informational Post,19.62,noblie,0
big blade,170,3.0,1,0,knife_types,Informational Post,19.62,noblie,0
8cr13mov vs d2,210,3.0,5,1,steel_types,Comparison,19.58,noblie,0
santoku vs nakiri,210,3.0,7,1,knife_types,Comparison,19.58,koi,0
australian outback animals,720,28.0,14,3,other,Informational Post,19.52,koi,0
best rated steak knives,1000,31.0,38,0,other,List Post,19.51,insight,0
blue steel meaning,1000,31.0,31,0,steel_types,Informational Post,19.51,zhangxiaoquan,0
how to use a sharpening rod,1000,31.0,46,0,maintenance,How-to Tutorial,19.51,insight,0
shattered web knives,260,10.0,2,0,other,Informational Post,19.5,noblie,0
sandvik 14c28n,390,6.0,31,0,other,Informational Post,19.5,shieldon,0
are switchblades illegal in ny,390,10.0,20,0,knife_laws,Informational Post,19.5,noblie,0
are balisongs illegal in california,390,6.0,44,0,knife_laws,Comparison,19.5,noblie,0
wood handle for knife,390,10.0,19,0,knife_types,Comparison,19.5,noblie,0
seki city knives,390,6.0,58,0,other,Informational Post,19.5,koi,0
legal knife length,390,10.0,13,0,knife_laws,Informational Post,19.5,noblie,0
paratrooper knife ww2,170,4.0,1,7,knife_types,Informational Post,19.49,noblie,0
knife laws nc,260,7.0,7,6,knife_laws,Informational Post,19.45,noblie,0
mass knife laws,390,16.0,7,8,knife_laws,Informational Post,19.44,noblie,0
damascus dagger,390,16.0,4,8,steel_types,Informational Post,19.44,noblie,0
different types of daggers,210,9.0,2,17,knife_types,List Post,19.4,noblie,0
gravity knife kopen nederalnd,210,9.0,2,17,knife_types,Informational Post,19.4,noblie,0
lorikeet tongue,480,29.0,2,5,comparison,Comparison,19.38,koi,0
grind blade,320,18.0,1,13,knife_types,Informational Post,19.37,noblie,0
hrc meaning,480,32.0,1,13,other,Informational Post,19.37,noblie,0
stainless high carbon steel,260,12.0,1,9,steel_types,Informational Post,19.32,koi,0
echidna echidna,1300,44.0,61,0,other,Informational Post,19.26,koi,0
gyuto knife vs chef knife,170,5.0,2,13,knife_types,Comparison,19.21,koi,0
german chef knives,480,10.0,82,0,cooking,Informational Post,19.2,insight,0
what is a serrated knife,480,10.0,42,0,knife_types,Informational Post,19.2,insight,0
fuller sword,480,10.0,44,0,knife_types,Comparison,19.2,noblie,0
german chef knives,480,10.0,47,0,cooking,Informational Post,19.2,noblie,0
sharpest skinning knife,480,10.0,29,0,knife_types,Informational Post,19.2,noblie,0
vintage knife,480,10.0,29,0,knife_types,Informational Post,19.2,noblie,0
what is a nakiri knife used for,480,10.0,41,0,knife_types,Comparison,19.2,koi,0
medieval sword tyles,720,20.0,57,0,knife_types,Comparison,19.2,noblie,0
what is a serrated knife,480,10.0,32,0,knife_types,Informational Post,19.2,noblie,0
wombat marsupial,880,59.0,2,0,other,Informational Post,19.13,koi,0
best pocket knife steels,210,1.0,16,0,steel_types,List Post,19.09,koi,0
bullets and knife,210,7.0,1,3,knife_types,Informational Post,19.09,koi,0
cobblers knife,140,1.0,1,0,knife_types,Informational Post,19.09,koi,0
darling river,1000,32.0,50,0,other,Informational Post,19.05,koi,0
using a sharpening stone to sharpen knives,880,27.0,60,0,maintenance,How-to Tutorial,19.03,insight,0
how to sharpen a bread knife,880,27.0,22,0,knife_types,How-to Tutorial,19.03,insight,0
massachusetts knife laws,590,21.0,13,0,knife_laws,Informational Post,19.03,shieldon,0
mark 1 trench knife,480,23.0,6,9,knife_types,Informational Post,19.03,noblie,0
most expensive kitchen knives,320,11.0,6,4,cooking,Informational Post,19.02,noblie,0
7cr steel,320,7.0,14,1,steel_types,Informational Post,19.01,shieldon,0
why switchblades are illegal,480,21.0,7,2,knife_laws,Informational Post,18.95,noblie,0
chinese cleaver knife,480,28.0,3,0,knife_types,Informational Post,18.95,koi,0
knife laws in virginia,390,11.0,12,2,knife_laws,Informational Post,18.94,shieldon,0
rockwell hardness table,390,24.0,2,10,other,Informational Post,18.93,noblie,0
throwing knives beginner,260,1.0,24,0,other,Informational Post,18.91,noblie,0
zdp 189 steel,260,1.0,53,0,steel_types,Informational Post,18.91,xinzuo,0
paracord charms,260,1.0,42,0,comparison,Comparison,18.91,noblie,0
rosellas,1300,45.0,61,0,other,Informational Post,18.91,koi,0
liner lock vs frame lock,260,1.0,35,0,comparison,Comparison,18.91,noblie,0
largest river in australia,390,15.0,9,1,other,Informational Post,18.91,koi,0
dingo the dog,1300,45.0,51,0,other,How-to Tutorial,18.91,koi,0
stainless steel high carbon,260,1.0,75,0,steel_types,Informational Post,18.91,noblie,0
g10 steel,140,2.0,1,8,steel_types,Informational Post,18.9,koi,0
knife laws indiana,210,4.0,8,5,knife_laws,Informational Post,18.9,noblie,0
knife blade shape,210,8.0,1,8,knife_types,Informational Post,18.9,noblie,0
ar rpm9 vs d2,140,2.0,1,8,steel_types,Comparison,18.9,shieldon,0
holding knife,590,15.0,66,0,knife_types,Informational Post,18.88,insight,0
trench knuckle knife,590,15.0,37,0,knife_types,Informational Post,18.88,shieldon,0
small thin plastic folding blade,390,21.0,1,0,knife_types,Informational Post,18.87,noblie,0
knives switch,880,46.0,10,0,other,Informational Post,18.86,noblie,0
curved knife name,390,26.0,1,16,knife_types,Informational Post,18.85,noblie,0
knife laws tennessee,260,14.0,3,16,knife_laws,Informational Post,18.85,noblie,0
what is a tang on a knife,260,13.0,3,11,knife_types,Informational Post,18.82,koi,0
knife angle sharpening,260,13.0,1,11,knife_types,How-to Tutorial,18.82,noblie,0
australian monitor lizard,590,28.0,9,1,comparison,Comparison,18.82,koi,0
magnacut vs s30v,320,7.0,13,0,steel_types,Comparison,18.82,noblie,0
most sharp knife in the world,170,4.0,2,3,knife_types,Comparison,18.76,noblie,0
australia kangaroo,1300,60.0,14,1,other,Informational Post,18.76,koi,0
wisconsin knife laws,260,4.0,11,1,knife_laws,Informational Post,18.76,noblie,0
blue damascus steel,170,4.0,1,3,steel_types,Informational Post,18.76,noblie,0
german knifes,320,12.0,7,7,knife_types,Informational Post,18.68,noblie,0
how to sharpen knife with whetstone,720,29.0,14,1,knife_types,How-to Tutorial,18.65,koi,0
knife kinds,260,13.0,1,10,knife_types,Informational Post,18.65,noblie,0
trench knife ww2,260,13.0,1,10,knife_types,Informational Post,18.65,noblie,0
cassowary's claw,1000,33.0,41,0,knife_laws,Informational Post,18.6,koi,0
gang cockatoo,1000,33.0,38,0,other,Informational Post,18.6,koi,0
top rated kitchen knife set,1000,33.0,44,0,knife_types,List Post,18.6,insight,0
are switch blades illegal,320,21.0,3,20,knife_laws,Informational Post,18.58,noblie,0
